EquipmentID,OperatorID
EQUIP_58,OP_190
EQUIP_141,OP_58
EQUIP_53,OP_190
EQUIP_45,OP_109
EQUIP_48,OP_60
EQUIP_14,OP_51
EQUIP_280,OP_57
EQUIP_143,OP_2
EQUIP_82,OP_109
EQUIP_80,OP_196
EQUIP_48,OP_25
EQUIP_177,OP_68
EQUIP_236,OP_32
EQUIP_194,OP_142
EQUIP_186,OP_50
EQUIP_24,OP_59
EQUIP_41,OP_60
EQUIP_195,OP_117
EQUIP_187,OP_95
EQUIP_137,OP_175
EQUIP_88,OP_187
EQUIP_237,OP_70
EQUIP_286,OP_176
EQUIP_29,OP_9
EQUIP_206,OP_17
EQUIP_291,OP_184
EQUIP_256,OP_165
EQUIP_136,OP_64
EQUIP_276,OP_192
EQUIP_299,OP_93
EQUIP_71,OP_127
EQUIP_25,OP_29
EQUIP_82,OP_175
EQUIP_33,OP_98
EQUIP_240,OP_65
EQUIP_6,OP_185
EQUIP_275,OP_69
EQUIP_175,OP_76
EQUIP_233,OP_185
EQUIP_135,OP_129
EQUIP_260,OP_28
EQUIP_153,OP_164
EQUIP_102,OP_96
EQUIP_277,OP_200
EQUIP_1,OP_83
EQUIP_58,OP_93
EQUIP_158,OP_15
EQUIP_291,OP_21
EQUIP_249,OP_18
EQUIP_273,OP_33
EQUIP_244,OP_141
EQUIP_271,OP_156
EQUIP_109,OP_139
EQUIP_103,OP_80
EQUIP_192,OP_133
EQUIP_127,OP_17
EQUIP_284,OP_151
EQUIP_37,OP_162
EQUIP_35,OP_9
EQUIP_37,OP_61
EQUIP_249,OP_139
EQUIP_293,OP_122
EQUIP_243,OP_105
EQUIP_50,OP_111
EQUIP_211,OP_187
EQUIP_51,OP_104
EQUIP_56,OP_50
EQUIP_230,OP_109
EQUIP_237,OP_20
EQUIP_282,OP_13
EQUIP_277,OP_4
EQUIP_122,OP_105
EQUIP_110,OP_103
EQUIP_85,OP_1
EQUIP_136,OP_117
EQUIP_285,OP_184
EQUIP_98,OP_56
EQUIP_297,OP_139
EQUIP_161,OP_13
EQUIP_258,OP_136
EQUIP_261,OP_48
EQUIP_35,OP_61
EQUIP_292,OP_149
EQUIP_42,OP_169
EQUIP_268,OP_67
EQUIP_161,OP_68
EQUIP_154,OP_81
EQUIP_38,OP_118
EQUIP_289,OP_19
EQUIP_260,OP_34
EQUIP_36,OP_63
EQUIP_81,OP_140
EQUIP_271,OP_171
EQUIP_154,OP_170
EQUIP_69,OP_30
EQUIP_284,OP_70
EQUIP_108,OP_88
EQUIP_136,OP_126
EQUIP_27,OP_163
EQUIP_142,OP_1
EQUIP_67,OP_68
EQUIP_227,OP_181
EQUIP_5,OP_20
EQUIP_77,OP_10
EQUIP_299,OP_38
EQUIP_22,OP_94
EQUIP_21,OP_92
EQUIP_128,OP_27
EQUIP_287,OP_105
EQUIP_80,OP_61
EQUIP_91,OP_106
EQUIP_171,OP_106
EQUIP_128,OP_41
EQUIP_56,OP_10
EQUIP_114,OP_118
EQUIP_117,OP_7
EQUIP_205,OP_72
EQUIP_143,OP_165
EQUIP_275,OP_8
EQUIP_134,OP_149
EQUIP_136,OP_28
EQUIP_177,OP_81
EQUIP_262,OP_99
EQUIP_98,OP_12
EQUIP_1,OP_138
EQUIP_101,OP_111
EQUIP_170,OP_81
EQUIP_64,OP_77
EQUIP_210,OP_104
EQUIP_284,OP_50
EQUIP_195,OP_192
EQUIP_292,OP_104
EQUIP_1,OP_74
EQUIP_297,OP_168
EQUIP_227,OP_173
EQUIP_243,OP_189
EQUIP_44,OP_132
EQUIP_172,OP_193
EQUIP_159,OP_51
EQUIP_24,OP_122
EQUIP_38,OP_107
EQUIP_295,OP_184
EQUIP_254,OP_63
EQUIP_3,OP_193
EQUIP_55,OP_109
EQUIP_266,OP_13
EQUIP_63,OP_35
EQUIP_272,OP_153
EQUIP_227,OP_185
EQUIP_219,OP_141
EQUIP_82,OP_122
EQUIP_127,OP_164
EQUIP_267,OP_161
EQUIP_226,OP_183
EQUIP_140,OP_82
EQUIP_42,OP_39
EQUIP_79,OP_55
EQUIP_209,OP_139
EQUIP_32,OP_108
EQUIP_300,OP_179
EQUIP_295,OP_123
EQUIP_181,OP_193
