BatchID,EquipmentID
BATCH_1,EQUIP_58
BATCH_2,EQUIP_141
BATCH_3,EQUIP_53
BATCH_4,EQUIP_45
BATCH_5,EQUIP_48
BATCH_6,EQUIP_14
BATCH_7,EQUIP_280
BATCH_8,EQUIP_143
BATCH_9,EQUIP_82
BATCH_10,EQUIP_80
BATCH_11,EQUIP_48
BATCH_12,EQUIP_177
BATCH_13,EQUIP_236
BATCH_14,EQUIP_194
BATCH_15,EQUIP_186
BATCH_16,EQUIP_24
BATCH_17,EQUIP_41
BATCH_18,EQUIP_195
BATCH_19,EQUIP_187
BATCH_20,EQUIP_137
BATCH_21,EQUIP_88
BATCH_22,EQUIP_237
BATCH_23,EQUIP_286
BATCH_24,EQUIP_29
BATCH_25,EQUIP_206
BATCH_26,EQUIP_291
BATCH_27,EQUIP_256
BATCH_28,EQUIP_136
BATCH_29,EQUIP_276
BATCH_30,EQUIP_299
BATCH_31,EQUIP_71
BATCH_32,EQUIP_25
BATCH_33,EQUIP_82
BATCH_34,EQUIP_33
BATCH_35,EQUIP_240
BATCH_36,EQUIP_6
BATCH_37,EQUIP_275
BATCH_38,EQUIP_175
BATCH_39,EQUIP_233
BATCH_40,EQUIP_135
BATCH_41,EQUIP_260
BATCH_42,EQUIP_153
BATCH_43,EQUIP_102
BATCH_44,EQUIP_277
BATCH_45,EQUIP_1
BATCH_46,EQUIP_58
BATCH_47,EQUIP_158
BATCH_48,EQUIP_291
BATCH_49,EQUIP_249
BATCH_50,EQUIP_273
BATCH_51,EQUIP_244
BATCH_52,EQUIP_271
BATCH_53,EQUIP_109
BATCH_54,EQUIP_103
BATCH_55,EQUIP_192
BATCH_56,EQUIP_127
BATCH_57,EQUIP_284
BATCH_58,EQUIP_37
BATCH_59,EQUIP_35
BATCH_60,EQUIP_37
BATCH_61,EQUIP_249
BATCH_62,EQUIP_293
BATCH_63,EQUIP_243
BATCH_64,EQUIP_50
BATCH_65,EQUIP_211
BATCH_66,EQUIP_51
BATCH_67,EQUIP_56
BATCH_68,EQUIP_230
BATCH_69,EQUIP_237
BATCH_70,EQUIP_282
BATCH_71,EQUIP_277
BATCH_72,EQUIP_122
BATCH_73,EQUIP_110
BATCH_74,EQUIP_85
BATCH_75,EQUIP_136
BATCH_76,EQUIP_285
BATCH_77,EQUIP_98
BATCH_78,EQUIP_297
BATCH_79,EQUIP_161
BATCH_80,EQUIP_258
BATCH_81,EQUIP_261
BATCH_82,EQUIP_35
BATCH_83,EQUIP_292
BATCH_84,EQUIP_42
BATCH_85,EQUIP_268
BATCH_86,EQUIP_161
BATCH_87,EQUIP_154
BATCH_88,EQUIP_38
BATCH_89,EQUIP_289
BATCH_90,EQUIP_260
BATCH_91,EQUIP_36
BATCH_92,EQUIP_81
BATCH_93,EQUIP_271
BATCH_94,EQUIP_154
BATCH_95,EQUIP_69
BATCH_96,EQUIP_284
BATCH_97,EQUIP_108
BATCH_98,EQUIP_136
BATCH_99,EQUIP_27
BATCH_100,EQUIP_142
BATCH_101,EQUIP_67
BATCH_102,EQUIP_227
BATCH_103,EQUIP_5
BATCH_104,EQUIP_77
BATCH_105,EQUIP_299
BATCH_106,EQUIP_22
BATCH_107,EQUIP_21
BATCH_108,EQUIP_128
BATCH_109,EQUIP_287
BATCH_110,EQUIP_80
BATCH_111,EQUIP_91
BATCH_112,EQUIP_171
BATCH_113,EQUIP_128
BATCH_114,EQUIP_56
BATCH_115,EQUIP_114
BATCH_116,EQUIP_117
BATCH_117,EQUIP_205
BATCH_118,EQUIP_143
BATCH_119,EQUIP_275
BATCH_120,EQUIP_134
BATCH_121,EQUIP_136
BATCH_122,EQUIP_177
BATCH_123,EQUIP_262
BATCH_124,EQUIP_98
BATCH_125,EQUIP_1
BATCH_126,EQUIP_101
BATCH_127,EQUIP_170
BATCH_128,EQUIP_64
BATCH_129,EQUIP_210
BATCH_130,EQUIP_284
BATCH_131,EQUIP_195
BATCH_132,EQUIP_292
BATCH_133,EQUIP_1
BATCH_134,EQUIP_297
BATCH_135,EQUIP_227
BATCH_136,EQUIP_243
BATCH_137,EQUIP_44
BATCH_138,EQUIP_172
BATCH_139,EQUIP_159
BATCH_140,EQUIP_24
BATCH_141,EQUIP_38
BATCH_142,EQUIP_295
BATCH_143,EQUIP_254
BATCH_144,EQUIP_3
BATCH_145,EQUIP_55
BATCH_146,EQUIP_266
BATCH_147,EQUIP_63
BATCH_148,EQUIP_272
BATCH_149,EQUIP_227
BATCH_150,EQUIP_219
BATCH_151,EQUIP_82
BATCH_152,EQUIP_127
BATCH_153,EQUIP_267
BATCH_154,EQUIP_226
BATCH_155,EQUIP_140
BATCH_156,EQUIP_42
BATCH_157,EQUIP_79
BATCH_158,EQUIP_209
BATCH_159,EQUIP_32
BATCH_160,EQUIP_300
BATCH_161,EQUIP_295
BATCH_162,EQUIP_181
BATCH_163,EQUIP_215
BATCH_164,EQUIP_113
BATCH_165,EQUIP_249
BATCH_166,EQUIP_208
BATCH_167,EQUIP_66
BATCH_168,EQUIP_202
BATCH_169,EQUIP_43
BATCH_170,EQUIP_237
BATCH_171,EQUIP_168
BATCH_172,EQUIP_195
BATCH_173,EQUIP_216
BATCH_174,EQUIP_277
BATCH_175,EQUIP_36
BATCH_176,EQUIP_16
BATCH_177,EQUIP_11
BATCH_178,EQUIP_243
BATCH_179,EQUIP_112
BATCH_180,EQUIP_189
BATCH_181,EQUIP_59
BATCH_182,EQUIP_56
BATCH_183,EQUIP_295
BATCH_184,EQUIP_102
BATCH_185,EQUIP_125
BATCH_186,EQUIP_62
BATCH_187,EQUIP_178
BATCH_188,EQUIP_36
BATCH_189,EQUIP_216
BATCH_190,EQUIP_186
BATCH_191,EQUIP_223
BATCH_192,EQUIP_139
BATCH_193,EQUIP_239
BATCH_194,EQUIP_166
BATCH_195,EQUIP_45
BATCH_196,EQUIP_238
BATCH_197,EQUIP_173
BATCH_198,EQUIP_94
BATCH_199,EQUIP_133
BATCH_200,EQUIP_142
BATCH_201,EQUIP_98
BATCH_202,EQUIP_251
BATCH_203,EQUIP_244
BATCH_204,EQUIP_9
BATCH_205,EQUIP_125
BATCH_206,EQUIP_243
BATCH_207,EQUIP_282
BATCH_208,EQUIP_139
BATCH_209,EQUIP_99
BATCH_210,EQUIP_95
BATCH_211,EQUIP_142
BATCH_212,EQUIP_269
BATCH_213,EQUIP_100
BATCH_214,EQUIP_155
BATCH_215,EQUIP_141
BATCH_216,EQUIP_65
BATCH_217,EQUIP_7
BATCH_218,EQUIP_226
BATCH_219,EQUIP_130
BATCH_220,EQUIP_34
BATCH_221,EQUIP_28
BATCH_222,EQUIP_156
BATCH_223,EQUIP_214
BATCH_224,EQUIP_116
BATCH_225,EQUIP_227
BATCH_226,EQUIP_157
BATCH_227,EQUIP_51
BATCH_228,EQUIP_109
BATCH_229,EQUIP_123
BATCH_230,EQUIP_2
BATCH_231,EQUIP_241
BATCH_232,EQUIP_145
BATCH_233,EQUIP_120
BATCH_234,EQUIP_102
BATCH_235,EQUIP_77
BATCH_236,EQUIP_37
BATCH_237,EQUIP_292
BATCH_238,EQUIP_240
BATCH_239,EQUIP_140
BATCH_240,EQUIP_42
BATCH_241,EQUIP_166
BATCH_242,EQUIP_118
BATCH_243,EQUIP_295
BATCH_244,EQUIP_138
BATCH_245,EQUIP_90
BATCH_246,EQUIP_143
BATCH_247,EQUIP_252
BATCH_248,EQUIP_210
BATCH_249,EQUIP_83
BATCH_250,EQUIP_148
BATCH_251,EQUIP_282
BATCH_252,EQUIP_130
BATCH_253,EQUIP_207
BATCH_254,EQUIP_1
BATCH_255,EQUIP_28
BATCH_256,EQUIP_256
BATCH_257,EQUIP_105
BATCH_258,EQUIP_148
BATCH_259,EQUIP_15
BATCH_260,EQUIP_123
BATCH_261,EQUIP_8
BATCH_262,EQUIP_59
BATCH_263,EQUIP_79
BATCH_264,EQUIP_140
BATCH_265,EQUIP_125
BATCH_266,EQUIP_98
BATCH_267,EQUIP_70
BATCH_268,EQUIP_213
BATCH_269,EQUIP_2
BATCH_270,EQUIP_297
BATCH_271,EQUIP_229
BATCH_272,EQUIP_283
BATCH_273,EQUIP_165
BATCH_274,EQUIP_123
BATCH_275,EQUIP_211
BATCH_276,EQUIP_196
BATCH_277,EQUIP_78
BATCH_278,EQUIP_170
BATCH_279,EQUIP_226
BATCH_280,EQUIP_8
BATCH_281,EQUIP_80
BATCH_282,EQUIP_136
BATCH_283,EQUIP_42
BATCH_284,EQUIP_274
BATCH_285,EQUIP_250
BATCH_286,EQUIP_36
BATCH_287,EQUIP_148
BATCH_288,EQUIP_51
BATCH_289,EQUIP_52
BATCH_290,EQUIP_15
BATCH_291,EQUIP_151
BATCH_292,EQUIP_126
BATCH_293,EQUIP_93
BATCH_294,EQUIP_196
BATCH_295,EQUIP_299
BATCH_296,EQUIP_131
BATCH_297,EQUIP_239
BATCH_298,EQUIP_81
BATCH_299,EQUIP_154
BATCH_300,EQUIP_234
BATCH_301,EQUIP_197
BATCH_302,EQUIP_196
BATCH_303,EQUIP_152
BATCH_304,EQUIP_5
BATCH_305,EQUIP_26
BATCH_306,EQUIP_147
BATCH_307,EQUIP_181
BATCH_308,EQUIP_129
BATCH_309,EQUIP_71
BATCH_310,EQUIP_21
BATCH_311,EQUIP_187
BATCH_312,EQUIP_152
BATCH_313,EQUIP_103
BATCH_314,EQUIP_188
BATCH_315,EQUIP_85
BATCH_316,EQUIP_152
BATCH_317,EQUIP_240
BATCH_318,EQUIP_116
BATCH_319,EQUIP_204
BATCH_320,EQUIP_203
BATCH_321,EQUIP_233
BATCH_322,EQUIP_135
BATCH_323,EQUIP_191
BATCH_324,EQUIP_13
BATCH_325,EQUIP_114
BATCH_326,EQUIP_238
BATCH_327,EQUIP_210
BATCH_328,EQUIP_20
BATCH_329,EQUIP_121
BATCH_330,EQUIP_233
BATCH_331,EQUIP_277
BATCH_332,EQUIP_80
BATCH_333,EQUIP_251
BATCH_334,EQUIP_144
BATCH_335,EQUIP_228
BATCH_336,EQUIP_51
BATCH_337,EQUIP_184
BATCH_338,EQUIP_63
BATCH_339,EQUIP_109
BATCH_340,EQUIP_11
BATCH_341,EQUIP_65
BATCH_342,EQUIP_284
BATCH_343,EQUIP_120
BATCH_344,EQUIP_2
BATCH_345,EQUIP_277
BATCH_346,EQUIP_14
BATCH_347,EQUIP_122
BATCH_348,EQUIP_136
BATCH_349,EQUIP_270
BATCH_350,EQUIP_230
BATCH_351,EQUIP_56
BATCH_352,EQUIP_23
BATCH_353,EQUIP_235
BATCH_354,EQUIP_246
BATCH_355,EQUIP_56
BATCH_356,EQUIP_38
BATCH_357,EQUIP_76
BATCH_358,EQUIP_300
BATCH_359,EQUIP_272
BATCH_360,EQUIP_221
BATCH_361,EQUIP_283
BATCH_362,EQUIP_117
BATCH_363,EQUIP_205
BATCH_364,EQUIP_219
BATCH_365,EQUIP_79
BATCH_366,EQUIP_44
BATCH_367,EQUIP_191
BATCH_368,EQUIP_288
BATCH_369,EQUIP_211
BATCH_370,EQUIP_217
BATCH_371,EQUIP_148
BATCH_372,EQUIP_296
BATCH_373,EQUIP_247
BATCH_374,EQUIP_285
BATCH_375,EQUIP_294
BATCH_376,EQUIP_286
BATCH_377,EQUIP_137
BATCH_378,EQUIP_159
BATCH_379,EQUIP_93
BATCH_380,EQUIP_206
BATCH_381,EQUIP_16
BATCH_382,EQUIP_193
BATCH_383,EQUIP_190
BATCH_384,EQUIP_291
BATCH_385,EQUIP_80
BATCH_386,EQUIP_42
BATCH_387,EQUIP_249
BATCH_388,EQUIP_111
BATCH_389,EQUIP_221
BATCH_390,EQUIP_250
BATCH_391,EQUIP_113
BATCH_392,EQUIP_105
BATCH_393,EQUIP_131
BATCH_394,EQUIP_255
BATCH_395,EQUIP_195
BATCH_396,EQUIP_287
BATCH_397,EQUIP_37
BATCH_398,EQUIP_10
BATCH_399,EQUIP_295
BATCH_400,EQUIP_214
BATCH_401,EQUIP_167
BATCH_402,EQUIP_186
BATCH_403,EQUIP_125
BATCH_404,EQUIP_41
BATCH_405,EQUIP_114
BATCH_406,EQUIP_262
BATCH_407,EQUIP_100
BATCH_408,EQUIP_76
BATCH_409,EQUIP_102
BATCH_410,EQUIP_39
BATCH_411,EQUIP_238
BATCH_412,EQUIP_230
BATCH_413,EQUIP_166
BATCH_414,EQUIP_226
BATCH_415,EQUIP_156
BATCH_416,EQUIP_181
BATCH_417,EQUIP_232
BATCH_418,EQUIP_147
BATCH_419,EQUIP_47
BATCH_420,EQUIP_237
BATCH_421,EQUIP_22
BATCH_422,EQUIP_165
BATCH_423,EQUIP_32
BATCH_424,EQUIP_176
BATCH_425,EQUIP_89
BATCH_426,EQUIP_225
BATCH_427,EQUIP_187
BATCH_428,EQUIP_174
BATCH_429,EQUIP_172
BATCH_430,EQUIP_198
BATCH_431,EQUIP_77
BATCH_432,EQUIP_73
BATCH_433,EQUIP_201
BATCH_434,EQUIP_44
BATCH_435,EQUIP_169
BATCH_436,EQUIP_270
BATCH_437,EQUIP_261
BATCH_438,EQUIP_93
BATCH_439,EQUIP_249
BATCH_440,EQUIP_80
BATCH_441,EQUIP_52
BATCH_442,EQUIP_270
BATCH_443,EQUIP_68
BATCH_444,EQUIP_93
BATCH_445,EQUIP_85
BATCH_446,EQUIP_187
BATCH_447,EQUIP_228
BATCH_448,EQUIP_230
BATCH_449,EQUIP_241
BATCH_450,EQUIP_293
BATCH_451,EQUIP_196
BATCH_452,EQUIP_83
BATCH_453,EQUIP_71
BATCH_454,EQUIP_247
BATCH_455,EQUIP_53
BATCH_456,EQUIP_146
BATCH_457,EQUIP_231
BATCH_458,EQUIP_224
BATCH_459,EQUIP_179
BATCH_460,EQUIP_203
BATCH_461,EQUIP_42
BATCH_462,EQUIP_51
BATCH_463,EQUIP_75
BATCH_464,EQUIP_242
BATCH_465,EQUIP_241
BATCH_466,EQUIP_41
BATCH_467,EQUIP_77
BATCH_468,EQUIP_217
BATCH_469,EQUIP_155
BATCH_470,EQUIP_235
BATCH_471,EQUIP_256
BATCH_472,EQUIP_264
BATCH_473,EQUIP_150
BATCH_474,EQUIP_124
BATCH_475,EQUIP_44
BATCH_476,EQUIP_270
BATCH_477,EQUIP_260
BATCH_478,EQUIP_241
BATCH_479,EQUIP_192
BATCH_480,EQUIP_35
BATCH_481,EQUIP_54
BATCH_482,EQUIP_171
BATCH_483,EQUIP_174
BATCH_484,EQUIP_238
BATCH_485,EQUIP_70
