BatchID,MaterialID
BATCH_1,MAT_103
BATCH_2,MAT_1004
BATCH_3,MAT_2772
BATCH_4,MAT_2419
BATCH_5,MAT_896
BATCH_6,MAT_2299
BATCH_7,MAT_1719
BATCH_8,MAT_3316
BATCH_9,MAT_2860
BATCH_10,MAT_882
BATCH_11,MAT_1557
BATCH_12,MAT_2473
BATCH_13,MAT_2197
BATCH_14,MAT_323
BATCH_15,MAT_2365
BATCH_16,MAT_2709
BATCH_17,MAT_3504
BATCH_18,MAT_1139
BATCH_19,MAT_667
BATCH_20,MAT_2875
BATCH_21,MAT_2188
BATCH_22,MAT_1555
BATCH_23,MAT_900
BATCH_24,MAT_939
BATCH_25,MAT_1097
BATCH_26,MAT_3590
BATCH_27,MAT_1621
BATCH_28,MAT_572
BATCH_29,MAT_1077
BATCH_30,MAT_1636
BATCH_31,MAT_2088
BATCH_32,MAT_3528
BATCH_33,MAT_3245
BATCH_34,MAT_1577
BATCH_35,MAT_2168
BATCH_36,MAT_2787
BATCH_37,MAT_3076
BATCH_38,MAT_457
BATCH_39,MAT_14
BATCH_40,MAT_3981
BATCH_41,MAT_3739
BATCH_42,MAT_3448
BATCH_43,MAT_627
BATCH_44,MAT_3906
BATCH_45,MAT_2454
BATCH_46,MAT_3806
BATCH_47,MAT_981
BATCH_48,MAT_3879
BATCH_49,MAT_3343
BATCH_50,MAT_3137
BATCH_51,MAT_3879
BATCH_52,MAT_3574
BATCH_53,MAT_3805
BATCH_54,MAT_2921
BATCH_55,MAT_1795
BATCH_56,MAT_921
BATCH_57,MAT_943
BATCH_58,MAT_2900
BATCH_59,MAT_3709
BATCH_60,MAT_2106
BATCH_61,MAT_878
BATCH_62,MAT_2361
BATCH_63,MAT_3308
BATCH_64,MAT_2700
BATCH_65,MAT_1913
BATCH_66,MAT_249
BATCH_67,MAT_1019
BATCH_68,MAT_575
BATCH_69,MAT_1024
BATCH_70,MAT_402
BATCH_71,MAT_3425
BATCH_72,MAT_682
BATCH_73,MAT_3542
BATCH_74,MAT_1553
BATCH_75,MAT_3796
BATCH_76,MAT_2712
BATCH_77,MAT_1216
BATCH_78,MAT_3014
BATCH_79,MAT_235
BATCH_80,MAT_3766
BATCH_81,MAT_329
BATCH_82,MAT_2766
BATCH_83,MAT_1009
BATCH_84,MAT_1718
BATCH_85,MAT_1296
BATCH_86,MAT_978
BATCH_87,MAT_1873
BATCH_88,MAT_39
BATCH_89,MAT_410
BATCH_90,MAT_1087
BATCH_91,MAT_3602
BATCH_92,MAT_1795
BATCH_93,MAT_33
BATCH_94,MAT_3817
BATCH_95,MAT_1084
BATCH_96,MAT_637
BATCH_97,MAT_2940
BATCH_98,MAT_2071
BATCH_99,MAT_379
BATCH_100,MAT_181
BATCH_101,MAT_2610
BATCH_102,MAT_2260
BATCH_103,MAT_459
BATCH_104,MAT_2235
BATCH_105,MAT_2264
BATCH_106,MAT_1263
BATCH_107,MAT_3682
BATCH_108,MAT_2732
BATCH_109,MAT_3622
BATCH_110,MAT_3792
BATCH_111,MAT_3611
BATCH_112,MAT_3205
BATCH_113,MAT_1093
BATCH_114,MAT_1567
BATCH_115,MAT_818
BATCH_116,MAT_914
BATCH_117,MAT_1345
BATCH_118,MAT_1439
BATCH_119,MAT_1357
BATCH_120,MAT_732
BATCH_121,MAT_157
BATCH_122,MAT_2985
BATCH_123,MAT_474
BATCH_124,MAT_1044
BATCH_125,MAT_2130
BATCH_126,MAT_1492
BATCH_127,MAT_2553
BATCH_128,MAT_2949
BATCH_129,MAT_1337
BATCH_130,MAT_522
BATCH_131,MAT_2775
BATCH_132,MAT_1233
BATCH_133,MAT_1245
BATCH_134,MAT_2485
BATCH_135,MAT_1812
BATCH_136,MAT_3252
BATCH_137,MAT_1163
BATCH_138,MAT_383
BATCH_139,MAT_921
BATCH_140,MAT_1003
BATCH_141,MAT_1866
BATCH_142,MAT_797
BATCH_143,MAT_1637
BATCH_144,MAT_3657
BATCH_145,MAT_3189
BATCH_146,MAT_1903
BATCH_147,MAT_1870
BATCH_148,MAT_2290
BATCH_149,MAT_2510
BATCH_150,MAT_3403
BATCH_151,MAT_3047
BATCH_152,MAT_3441
BATCH_153,MAT_1985
BATCH_154,MAT_318
BATCH_155,MAT_1376
BATCH_156,MAT_567
BATCH_157,MAT_2894
BATCH_158,MAT_1356
BATCH_159,MAT_848
BATCH_160,MAT_3876
BATCH_161,MAT_1559
BATCH_162,MAT_1224
BATCH_163,MAT_2205
BATCH_164,MAT_2000
BATCH_165,MAT_119
BATCH_166,MAT_2967
BATCH_167,MAT_2549
BATCH_168,MAT_2425
BATCH_169,MAT_2633
BATCH_170,MAT_745
BATCH_171,MAT_867
BATCH_172,MAT_1140
BATCH_173,MAT_1034
BATCH_174,MAT_214
BATCH_175,MAT_3200
BATCH_176,MAT_3890
BATCH_177,MAT_2545
BATCH_178,MAT_2743
BATCH_179,MAT_1905
BATCH_180,MAT_688
BATCH_181,MAT_3186
BATCH_182,MAT_2371
BATCH_183,MAT_2775
BATCH_184,MAT_312
BATCH_185,MAT_418
BATCH_186,MAT_3262
BATCH_187,MAT_2183
BATCH_188,MAT_2073
BATCH_189,MAT_3369
BATCH_190,MAT_2604
BATCH_191,MAT_722
BATCH_192,MAT_2523
BATCH_193,MAT_1785
BATCH_194,MAT_3489
BATCH_195,MAT_1143
BATCH_196,MAT_2335
BATCH_197,MAT_118
BATCH_198,MAT_1998
BATCH_199,MAT_1395
BATCH_200,MAT_2277
BATCH_201,MAT_351
BATCH_202,MAT_2275
BATCH_203,MAT_2646
BATCH_204,MAT_382
BATCH_205,MAT_1255
BATCH_206,MAT_2268
BATCH_207,MAT_1355
BATCH_208,MAT_1256
BATCH_209,MAT_1293
BATCH_210,MAT_785
BATCH_211,MAT_2968
BATCH_212,MAT_2445
BATCH_213,MAT_1214
BATCH_214,MAT_58
BATCH_215,MAT_187
BATCH_216,MAT_2613
BATCH_217,MAT_2352
BATCH_218,MAT_1396
BATCH_219,MAT_3855
BATCH_220,MAT_1642
BATCH_221,MAT_622
BATCH_222,MAT_349
BATCH_223,MAT_2484
BATCH_224,MAT_3178
BATCH_225,MAT_1218
BATCH_226,MAT_2330
BATCH_227,MAT_3882
BATCH_228,MAT_1084
BATCH_229,MAT_712
BATCH_230,MAT_1674
BATCH_231,MAT_1193
BATCH_232,MAT_2880
BATCH_233,MAT_3785
BATCH_234,MAT_1742
BATCH_235,MAT_3721
BATCH_236,MAT_245
BATCH_237,MAT_3774
BATCH_238,MAT_2821
BATCH_239,MAT_2050
BATCH_240,MAT_2450
BATCH_241,MAT_2473
BATCH_242,MAT_3940
BATCH_243,MAT_2405
BATCH_244,MAT_2361
BATCH_245,MAT_1928
BATCH_246,MAT_744
BATCH_247,MAT_3970
BATCH_248,MAT_1366
BATCH_249,MAT_1351
BATCH_250,MAT_2714
BATCH_251,MAT_151
BATCH_252,MAT_1325
BATCH_253,MAT_3543
BATCH_254,MAT_2694
BATCH_255,MAT_769
BATCH_256,MAT_2562
BATCH_257,MAT_1094
BATCH_258,MAT_1795
BATCH_259,MAT_3987
BATCH_260,MAT_2908
BATCH_261,MAT_2263
BATCH_262,MAT_1891
BATCH_263,MAT_2042
BATCH_264,MAT_1702
BATCH_265,MAT_1871
BATCH_266,MAT_3776
BATCH_267,MAT_3540
BATCH_268,MAT_1393
BATCH_269,MAT_1159
BATCH_270,MAT_2704
BATCH_271,MAT_2207
BATCH_272,MAT_3125
BATCH_273,MAT_3562
BATCH_274,MAT_2343
BATCH_275,MAT_179
BATCH_276,MAT_1582
BATCH_277,MAT_2029
BATCH_278,MAT_3563
BATCH_279,MAT_409
BATCH_280,MAT_2960
BATCH_281,MAT_307
BATCH_282,MAT_1387
BATCH_283,MAT_3489
BATCH_284,MAT_1557
BATCH_285,MAT_3574
BATCH_286,MAT_962
BATCH_287,MAT_932
BATCH_288,MAT_3115
BATCH_289,MAT_1818
BATCH_290,MAT_189
BATCH_291,MAT_1469
BATCH_292,MAT_2176
BATCH_293,MAT_697
BATCH_294,MAT_2539
